item,itemLabel,itemDescription,idTMS,idBddSalons,img,URLbddOrsay,URLbddSalons
http://www.wikidata.org/entity/Q17492016,"La Guerre, marche en avant",tableau d'Alfred Roll,75488,252760,,https://www.musee-orsay.fr/fr/oeuvres/75488,http://salons.musee-orsay.fr/index/notice/252760
http://www.wikidata.org/entity/Q17492029,La Leçon de catéchisme,"tableau de Jules-Alexis Muenier (musée d'Orsay, RF 675)",70822,18211,,https://www.musee-orsay.fr/fr/oeuvres/70822,http://salons.musee-orsay.fr/index/notice/18211
http://www.wikidata.org/entity/Q17491987,La Fin du déluge,tableau de Gustave Brion,69679,53354,,https://www.musee-orsay.fr/fr/oeuvres/69679,http://salons.musee-orsay.fr/index/notice/53354
http://www.wikidata.org/entity/Q1766454,Les Raboteurs de parquet,tableau de Gustave Caillebotte,105,57760,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Caillebotte%20-%20The%20Floor%20Planers%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/105,http://salons.musee-orsay.fr/index/notice/57760
http://www.wikidata.org/entity/Q1239950,L'Absinthe,tableau d'Edgar Degas,1147,57792,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20In%20a%20Caf%C3%A9%20-%20Google%20Art%20Project%202.jpg,https://www.musee-orsay.fr/fr/oeuvres/1147,http://salons.musee-orsay.fr/index/notice/57792
http://www.wikidata.org/entity/Q3937675,Portrait de William Sisley,portrait du père d'Alfred Sisley peint par Auguste Renoir,488,63594,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20William%20Sisley.jpg,https://www.musee-orsay.fr/fr/oeuvres/488,http://salons.musee-orsay.fr/index/notice/63594
http://www.wikidata.org/entity/Q2529703,Émile Zola,portrait d'Édouard Manet,713,188282,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20049.jpg,https://www.musee-orsay.fr/fr/oeuvres/713,http://salons.musee-orsay.fr/index/notice/188282
http://www.wikidata.org/entity/Q3203447,L'Hallali du cerf,tableau de Gustave Courbet,69767,191475,http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20-%20L%27Hallali%20du%20cerf.jpg,https://www.musee-orsay.fr/fr/oeuvres/69767,http://salons.musee-orsay.fr/index/notice/191475
http://www.wikidata.org/entity/Q3937379,Portraits à la Bourse,tableau d'Edgar Degas,1145,58297,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20Portraits%20at%20the%20Stock%20Exchange%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/1145,http://salons.musee-orsay.fr/index/notice/58297
http://www.wikidata.org/entity/Q775407,Le Balcon,tableau d'Édouard Manet,707,192520,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20The%20Balcony%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/707,http://salons.musee-orsay.fr/index/notice/192520
http://www.wikidata.org/entity/Q3212522,La Rue Montorgueil,tableau de Claude Monet,10896,58381,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20The%20Rue%20Montorgueil%20in%20Paris.%20Celebration%20of%20June%2030%2C%201878%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/10896,http://salons.musee-orsay.fr/index/notice/58381
http://www.wikidata.org/entity/Q17492749,Le Bon Samaritain,tableau de Jean Gigoux,85463,49110,,https://www.musee-orsay.fr/fr/oeuvres/85463,http://salons.musee-orsay.fr/index/notice/49110
http://www.wikidata.org/entity/Q17490857,Bénédicité. Fête de grand'mère,tableau de John Henry Lorimer,652,285914,,https://www.musee-orsay.fr/fr/oeuvres/652,http://salons.musee-orsay.fr/index/notice/285914
http://www.wikidata.org/entity/Q3879260,"Torse, effet de soleil",tableau d'Auguste Renoir,1094,57955,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20Torse%2C%20effet%20de%20soleil.jpg,https://www.musee-orsay.fr/fr/oeuvres/1094,http://salons.musee-orsay.fr/index/notice/57955
http://www.wikidata.org/entity/Q17492054,La Maison abandonnée,tableau de Louis-Maurice Boutet de Monvel,69668,263607,,https://www.musee-orsay.fr/fr/oeuvres/69668,http://salons.musee-orsay.fr/index/notice/263607
http://www.wikidata.org/entity/Q636001,Les Romains de la décadence,tableau de Thomas Couture,9493,162695,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Couture%20-%20Romans%20during%20the%20Decadence%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/9493,http://salons.musee-orsay.fr/index/notice/162695
http://www.wikidata.org/entity/Q17491999,La Fortune et le jeune enfant,tableau de Paul Baudry,1076,48066,http://commons.wikimedia.org/wiki/Special:FilePath/Baudry%20La%20fortune%20et%20le%20jeune%20enfant.jpg,https://www.musee-orsay.fr/fr/oeuvres/1076,http://salons.musee-orsay.fr/index/notice/48066
http://www.wikidata.org/entity/Q17490863,Bergères lorraines,tableau de Léon Barillot,77222,276572,,https://www.musee-orsay.fr/fr/oeuvres/77222,http://salons.musee-orsay.fr/index/notice/276572
http://www.wikidata.org/entity/Q1283024,La Naissance de Vénus,tableau de William Bouguereau,16649,104814,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Birth%20of%20Venus%20by%20William-Adolphe%20Bouguereau%20%281879%29.jpg,https://www.musee-orsay.fr/fr/oeuvres/16649,http://salons.musee-orsay.fr/index/notice/104814
http://www.wikidata.org/entity/Q5966403,Le Berceau,tableau de Berthe Morisot,1132,57680,http://commons.wikimedia.org/wiki/Special:FilePath/Berthe%20Morisot%20-%20The%20Cradle%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/1132,http://salons.musee-orsay.fr/index/notice/57680
http://www.wikidata.org/entity/Q17492681,L'Ave Maria : intérieur du couvent d'Aramont,tableau de François Bonvin,16562,196262,http://commons.wikimedia.org/wiki/Special:FilePath/Ave%20Maria%20int%C3%A9rieur%20du%20couvent%20d%27Aramont.jpg,https://www.musee-orsay.fr/fr/oeuvres/16562,http://salons.musee-orsay.fr/index/notice/196262
http://www.wikidata.org/entity/Q17490949,café à Adalia,tableau de Charles de Tournemine,9119,113350,,https://www.musee-orsay.fr/fr/oeuvres/9119,http://salons.musee-orsay.fr/index/notice/113350
http://www.wikidata.org/entity/Q17490800,Avant le grain à Grandcamp,tableau d'Émile Vernier,71077,101600,,https://www.musee-orsay.fr/fr/oeuvres/71077,http://salons.musee-orsay.fr/index/notice/101600
http://www.wikidata.org/entity/Q17492028,La Lande d'or,tableau d'Alexandre Nozal,75425,290739,,https://www.musee-orsay.fr/fr/oeuvres/75425,http://salons.musee-orsay.fr/index/notice/290739
http://www.wikidata.org/entity/Q17492676,L'Automne. Chevaux sur un bac,tableau de Jules Jacques Veyrassat,85444,258605,,https://www.musee-orsay.fr/fr/oeuvres/85444,http://salons.musee-orsay.fr/index/notice/258605
http://www.wikidata.org/entity/Q17493102,Le Négus Ménélik,tableau de Paul Buffet,70047,352732,,https://www.musee-orsay.fr/fr/oeuvres/70047,http://salons.musee-orsay.fr/index/notice/352732
http://www.wikidata.org/entity/Q17490859,Bercy en décembre,tableau d'Antoine Guillemet,80065,214807,,https://www.musee-orsay.fr/fr/oeuvres/80065,http://salons.musee-orsay.fr/index/notice/214807
